Model,AUC,CA,F1,Prec,Recall,MCC,Spec,LogLoss
Logistic Regression,0.9988839285714286,0.9666666666666667,0.9665178571428572,0.9665178571428572,0.9665178571428572,0.9330357142857143,0.96875,0.09425785854721844
Random Forest,0.9408482142857143,0.85,0.848951048951049,0.8501683501683501,0.8482142857142857,0.6983799021553296,0.875,0.3525209571651985
XGBoost,0.9609375,0.8833333333333333,0.8825174825174824,0.8838383838383839,0.8816964285714286,0.7655318158241113,0.90625,0.258560539632817
