Model,AUC,CA,F1,Prec,Recall,MCC,Spec,LogLoss
Logistic Regression,0.7488680425265791,0.7025,0.7002046921744607,0.7052429667519182,0.700750469043152,0.4059685792928099,0.7707317073170732,0.6060711779975275
Random Forest,0.7775984990619136,0.7,0.6985227615315044,0.7012236832104584,0.6986866791744841,0.39990231501377604,0.751219512195122,0.5699671366037354
XGBoost,0.7754096310193872,0.7,0.6996320492603438,0.6998421804153411,0.6995622263914947,0.3994043086929144,0.7170731707317073,0.5694575662027803
